movie_company_key,movie_id,company_id
164,118,45778
165,118,55512
166,118,6194
167,118,79
168,118,80
169,118,8601
170,120,11
171,120,12
172,120,5237
173,121,11
174,121,12
175,121,5237
176,122,11
177,122,12
178,128,10342
179,128,12516
180,128,14
181,128,20192
182,129,10342
183,134,10163
184,134,2092
185,134,33
186,134,5870
187,134,9195
188,137,5
189,141,185
190,141,2214
191,141,3334
192,142,10146
193,142,10565
194,142,1246
195,142,3997
196,146,10565
197,146,12205
198,146,20289
199,146,20290
200,146,20291
201,146,2269
202,146,2798
203,146,58
204,149,10919
205,149,10920
206,149,10921
207,149,3363
208,149,528
209,149,6999
210,149,882
211,149,9155
212,152,4
213,153,70
214,154,4
215,155,429
216,155,6194
217,155,923
218,155,9993
219,155,9996
220,157,4
221,161,129
222,161,172
223,161,24939
224,161,2596
225,161,6194
226,161,79
227,162,306
228,163,12202
229,163,129
230,163,2596
231,163,6194
232,163,79
233,165,20448
234,165,33
235,165,56
236,167,1178
237,167,19116
238,167,763
239,167,840
240,168,4
241,169,1302
242,169,1885
243,169,306
244,169,840
245,170,10889
246,170,284
247,172,4
248,173,3166
249,174,4
250,176,2061
251,176,23019
252,176,35
253,176,55405
254,177,559
255,179,10163
256,179,11581
257,179,20194
258,179,33
259,179,694
260,179,932
261,180,26265
262,180,27
263,180,306
264,180,44
265,180,56
266,180,76068
267,180,766
268,182,14315
269,182,6194
270,182,70319
271,184,14
272,186,1204
273,186,2116
274,186,21962
275,186,308
276,186,816
277,186,826
278,187,10807
279,187,53009
280,187,7405
281,189,10807
282,189,11005
283,189,11006
284,189,13241
285,189,14
286,189,29076
287,189,41658
288,193,4
289,194,12000
290,194,23446
291,194,25020
292,194,27897
293,194,30994
294,194,4411
295,194,5358
296,194,591
297,194,592
298,196,20448
299,196,33
300,196,56
301,197,11353
302,197,4564
303,197,7965
304,199,4
305,199,76068
306,200,4
307,201,4
308,203,120
309,205,11912
310,205,1205
311,205,19834
312,205,2760
313,205,35
314,205,564
315,205,60
316,205,7495
317,207,10282
318,207,9195
319,214,2061
320,214,23019
321,214,35
322,215,1053
323,215,2061
324,215,23019
325,215,35
326,215,64651
327,217,1
328,217,4
329,218,1280
330,218,3952
331,218,41
332,218,4764
333,218,7745
334,219,49
335,223,1553
336,226,11351
337,226,1422
338,226,307
339,226,43
340,226,54
341,227,6194
342,227,70
343,231,129
344,231,20665
345,231,20666
346,231,6194
347,231,6735
348,231,7786
349,235,1153
350,235,5
351,235,90896
352,235,90897
353,238,10211
354,238,4
355,239,11982
356,239,219
357,240,4
358,240,536
359,242,4
360,243,32
361,243,9195
362,245,33
363,248,1044
364,251,4
365,252,3434
366,252,4
367,253,10761
368,253,60
369,253,7576
370,254,11
371,254,33
372,254,68
373,254,69
374,257,2979
375,257,355
